Product Name,Category,Sub-Category,Total_Sales,Total_Profit,Num_Orders
Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,61599.824,7802.5743,5
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,27453.384000000002,4779.9927,10
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,22638.48,3961.6247,1
HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,21870.576,-1761.0099,8
GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,19823.479,1929.2259,11
GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,19024.5,2809.7853999999998,9
Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,18839.686,2927.1218,8
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,18374.895,585.5398999999999,3
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,17965.068,858.0264,6
High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,17030.311999999998,1985.0108,3
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,16829.901,1348.5132,4
Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,16656.2,1735.8773,6
Ibico EPK-21 Electric Binding System,Office Supplies,Binders,15875.916000000001,-3480.9466,3
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,15610.9656,-399.2909000000001,5
"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,14299.89,3034.9426999999996,2
Samsung Galaxy Mega 6.3,Technology,Phones,13943.668,861.5587,6
Apple iPhone 5,Technology,Phones,12996.600000000002,-516.8092999999999,6
Bretford Rectangular Conference Table Tops,Furniture,Tables,12995.2915,-476.90420000000006,12
Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,12975.382,60.12299999999995,9
SAFCO Arco Folding Chair,Furniture,Chairs,11572.78,462.4244,13
Cubify CubeX 3D Printer Double Head Print,Technology,Machines,11099.963,-1277.1648000000002,3
DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,11046.609,-1318.9767,6
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,10822.36,1187.1299,10
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,10637.528,-153.87199999999999,12
Logitech P710e Mobile Speakerphone,Technology,Accessories,10196.604,1255.715,9
Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,10076.46,1589.7447,10
Tennsco Double-Tier Lockers,Office Supplies,Storage,9630.856,568.9156,12
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,9587.052,-792.0825,4
Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories,9367.289999999999,583.0869,7
Bady BDG101FRU Card Printer,Technology,Machines,9279.884,465.57770000000005,4
Tennsco Single-Tier Lockers,Office Supplies,Storage,9158.296,1089.0163,8
GuestStacker Chair with Chrome Finish Legs,Furniture,Chairs,9070.944,-457.94860000000006,8
Canon Imageclass D680 Copier / Fax,Technology,Copiers,8959.872,451.8446,5
Hewlett Packard 610 Color Digital Copier / Printer,Technology,Copiers,8899.822,379.8309,7
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,8899.24,1259.575,7
Wilson Electronics DB Pro Signal Booster,Technology,Phones,8878.4,671.5924,10
Canon PC1060 Personal Laser Copier,Technology,Copiers,8819.874,479.60589999999996,3
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Chairs,8774.5,-283.72159999999997,8
Global Deluxe High-Back Manager's Chair,Furniture,Chairs,8665.194,-552.9924,8
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs,8430.997,-327.5806,8
Chromcraft Round Conference Tables,Furniture,Tables,8209.059,-50.709,13
"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,8138.232,669.2061,13
Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,Binders,8070.192,1428.8811,6
Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,7999.98,605.2591,1
Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,Chairs,7979.4400000000005,-255.7631,9
Okidata MB760 Printer,Technology,Machines,7834.4,1041.655,2
Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,7699.89,-218.7292,2
Mitel MiVoice 5330e IP Phone,Technology,Phones,7699.72,1046.9575,9
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs,7582.374,-1052.2105999999999,6
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,7539.7122,63.9569,8
